gID	cind
NM_000030	0
NM_000040	0
NM_000042	0
NM_000045	0
NM_000046	0
NM_000053	0
NM_000065	0
NM_000066	0
NM_000078	0
NM_000096	0
NM_000121	0
NM_000128	0
NM_000131	0
NM_000133	0
NM_000151	0
NM_000185	0
NM_000204	0
NM_000236	0
NM_000242	0
NM_000277	0
NM_000301	0
NM_000312	0
NM_000340	0
NM_000354	0
NM_000384	0
NM_000392	0
NM_000412	0
NM_000429	0
NM_000452	0
NM_000460	0
NM_000477	0
NM_000488	0
NM_000504	0
NM_000508	0
NM_000509	0
NM_000554	0
NM_000557	0
NM_000562	0
NM_000583	0
NM_000607	0
NM_000608	0
NM_000612	0
NM_000613	0
NM_000638	0
NM_000667	0
NM_000669	0
NM_000672	0
NM_000685	0
NM_000716	0
NM_000761	0
NM_000765	0
NM_000777	0
NM_000778	0
NM_000792	0
NM_000940	0
NM_001001936	0
NM_001002294	0
NM_001004433	0
NM_001011705	0
NM_001015072	0
NM_001017365	0
NM_001017367	0
NM_001057	0
NM_001078	0
NM_001085	0
NM_001086	0
NM_001134	0
NM_001145	0
NM_001171	0
NM_001181	0
NM_001185	0
NM_001249	0
NM_001443	0
NM_001461	0
NM_001616	0
NM_001622	0
NM_001633	0
NM_001639	0
NM_001701	0
NM_001713	0
NM_001735	0
NM_001739	0
NM_001756	0
NM_001836	0
NM_001872	0
NM_001875	0
NM_001994	0
NM_002011	0
NM_002141	0
NM_002150	0
NM_002215	0
NM_002216	0
NM_002217	0
NM_002218	0
NM_002302	0
NM_002548	0
NM_002980	0
NM_003057	0
NM_003167	0
NM_003771	0
NM_003822	0
NM_004132	0
NM_004440	0
NM_004467	0
NM_004570	0
NM_004617	0
NM_004970	0
NM_005123	0
NM_005141	0
NM_005143	0
NM_005666	0
NM_005807	0
NM_005835	0
NM_005989	0
NM_006028	0
NM_006215	0
NM_006382	0
NM_006446	0
NM_006512	0
NM_006684	0
NM_006744	0
NM_007170	0
NM_007193	0
NM_012369	0
NM_014495	0
NM_014725	0
NM_014900	0
NM_015879	0
NM_016180	0
NM_016186	0
NM_017460	0
NM_017614	0
NM_017717	0
NM_017731	0
NM_017893	0
NM_018018	0
NM_018655	0
NM_019062	0
NM_019114	0
NM_019844	0
NM_020390	0
NM_020549	0
NM_020778	0
NM_020984	0
NM_020985	0
NM_020986	0
NM_020995	0
NM_021021	0
NM_021101	0
NM_021139	0
NM_021258	0
NM_021783	0
NM_021815	0
NM_022097	0
NM_022129	0
NM_022158	0
NM_022963	0
NM_023944	0
NM_024795	0
NM_024935	0
NM_024940	0
NM_030641	0
NM_031264	0
NM_031265	0
NM_032049	0
NM_032153	0
NM_032606	0
NM_080914	0
NM_130760	0
NM_145727	0
NM_147203	0
NM_152701	0
NM_152909	0
NM_198709	0
NM_000164	1
NM_000496	1
NM_000535	1
NM_001006944	1
NM_001009938	1
NM_001018041	1
NM_001024463	1
NM_001024808	1
NM_001032279	1
NM_001032292	1
NM_001033002	1
NM_001139	1
NM_001252	1
NM_001258	1
NM_001771	1
NM_001990	1
NM_002312	1
NM_002431	1
NM_003300	1
NM_003450	1
NM_003664	1
NM_003683	1
NM_004036	1
NM_004086	1
NM_004375	1
NM_004416	1
NM_004618	1
NM_004722	1
NM_005096	1
NM_005811	1
NM_005919	1
NM_005937	1
NM_006916	1
NM_006943	1
NM_007188	1
NM_012139	1
NM_012452	1
NM_014389	1
NM_014707	1
NM_014906	1
NM_015421	1
NM_015650	1
NM_016069	1
NM_016112	1
NM_016948	1
NM_017929	1
NM_018024	1
NM_018706	1
NM_019003	1
NM_019082	1
NM_020431	1
NM_020448	1
NM_020643	1
NM_020834	1
NM_022101	1
NM_022727	1
NM_023071	1
NM_023077	1
NM_024296	1
NM_024572	1
NM_024681	1
NM_025150	1
NM_030567	1
NM_030800	1
NM_031918	1
NM_031941	1
NM_032359	1
NM_032701	1
NM_032940	1
NM_032951	1
NM_052847	1
NM_080665	1
NM_145039	1
NM_145261	1
NM_145267	1
NM_145288	1
NM_148178	1
NM_148897	1
NM_171998	1
NM_175861	1
NM_178425	1
NM_198066	1
NM_199229	1
NM_201599	1
NM_206937	1
NM_207328	1
NM_000180	2
NM_000226	2
NM_000275	2
NM_000307	2
NM_000315	2
NM_000370	2
NM_000441	2
NM_000461	2
NM_000529	2
NM_000547	2
NM_000625	2
NM_000750	2
NM_000783	2
NM_000843	2
NM_001002837	2
NM_001018036	2
NM_001033953	2
NM_001056	2
NM_001271	2
NM_001433	2
NM_001508	2
NM_001837	2
NM_002172	2
NM_002278	2
NM_002299	2
NM_002420	2
NM_002457	2
NM_002521	2
NM_002546	2
NM_002625	2
NM_002763	2
NM_002962	2
NM_003005	2
NM_003149	2
NM_003159	2
NM_003162	2
NM_003236	2
NM_003326	2
NM_003392	2
NM_003561	2
NM_003614	2
NM_003742	2
NM_004123	2
NM_004234	2
NM_004472	2
NM_004473	2
NM_004621	2
NM_004693	2
NM_004732	2
NM_004821	2
NM_005014	2
NM_005092	2
NM_005215	2
NM_005328	2
NM_005408	2
NM_005429	2
NM_005664	2
NM_005756	2
NM_005867	2
NM_005912	2
NM_005913	2
NM_005958	2
NM_006034	2
NM_006057	2
NM_006188	2
NM_006194	2
NM_006470	2
NM_006576	2
NM_006583	2
NM_006604	2
NM_006661	2
NM_006862	2
NM_006890	2
NM_006902	2
NM_012131	2
NM_013250	2
NM_013332	2
NM_013343	2
NM_013371	2
NM_014080	2
NM_014178	2
NM_014227	2
NM_014617	2
NM_014735	2
NM_014910	2
NM_014917	2
NM_015590	2
NM_015594	2
NM_015717	2
NM_016239	2
NM_016247	2
NM_016261	2
NM_016352	2
NM_016383	2
NM_016510	2
NM_017409	2
NM_017418	2
NM_017429	2
NM_018058	2
NM_018211	2
NM_018943	2
NM_018952	2
NM_019079	2
NM_020866	2
NM_020903	2
NM_021073	2
NM_021191	2
NM_021208	2
NM_021268	2
NM_022071	2
NM_022899	2
NM_022915	2
NM_023922	2
NM_024738	2
NM_024873	2
NM_024877	2
NM_025059	2
NM_025107	2
NM_025188	2
NM_030913	2
NM_030955	2
NM_031302	2
NM_031949	2
NM_032267	2
NM_057157	2
NM_080647	2
NM_134266	2
NM_152267	2
NM_153758	2
NM_173075	2
NM_177444	2
NM_181457	2
NM_207357	2
NM_001001346	3
NM_001001711	3
NM_001001827	3
NM_001001872	3
NM_001001875	3
NM_001001919	3
NM_001001922	3
NM_001001960	3
NM_001001961	3
NM_001001964	3
NM_001001968	3
NM_001002838	3
NM_001003443	3
NM_001004052	3
NM_001004058	3
NM_001004134	3
NM_001004298	3
NM_001004353	3
NM_001004430	3
NM_001004451	3
NM_001004454	3
NM_001004457	3
NM_001004470	3
NM_001004475	3
NM_001004476	3
NM_001004482	3
NM_001004684	3
NM_001004691	3
NM_001004693	3
NM_001004705	3
NM_001004719	3
NM_001004727	3
NM_001004729	3
NM_001004733	3
NM_001004749	3
NM_001004753	3
NM_001004759	3
NM_001005163	3
NM_001005167	3
NM_001005171	3
NM_001005174	3
NM_001005184	3
NM_001005191	3
NM_001005197	3
NM_001005234	3
NM_001005235	3
NM_001005236	3
NM_001005237	3
NM_001005240	3
NM_001005276	3
NM_001005288	3
NM_001005470	3
NM_001005489	3
NM_001005492	3
NM_001005503	3
NM_001005853	3
NM_001005855	3
NM_001006603	3
NM_001006615	3
NM_001006657	3
NM_001007122	3
NM_001007169	3
NM_001007247	3
NM_001007248	3
NM_001007525	3
NM_001008537	3
NM_001008740	3
NM_001008949	3
NM_001010852	3
NM_001010871	3
NM_001010892	3
NM_001010977	3
NM_001011718	3
NM_001012728	3
NM_001012981	3
NM_001013403	3
NM_001013615	3
NM_001013629	3
NM_001014372	3
NM_001014978	3
NM_001025290	3
NM_001029857	3
NM_001029858	3
NM_001029964	3
NM_001371	3
NM_002645	3
NM_007073	3
NM_007163	3
NM_012353	3
NM_012363	3
NM_013391	3
NM_015585	3
NM_015651	3
NM_015657	3
NM_017504	3
NM_017744	3
NM_018420	3
NM_018566	3
NM_018593	3
NM_019596	3
NM_020162	3
NM_020452	3
NM_020697	3
NM_020717	3
NM_020734	3
NM_020748	3
NM_020766	3
NM_020786	3
NM_020925	3
NM_020951	3
NM_021202	3
NM_021810	3
NM_024582	3
NM_025249	3
NM_030636	3
NM_030815	3
NM_030949	3
NM_031436	3
NM_031457	3
NM_031889	3
NM_031907	3
NM_031914	3
NM_031935	3
NM_031936	3
NM_031939	3
NM_031947	3
NM_032030	3
NM_032148	3
NM_032526	3
NM_032578	3
NM_032622	3
NM_032726	3
NM_032770	3
NM_032849	3
NM_032863	3
NM_032892	3
NM_033030	3
NM_033031	3
NM_033058	3
NM_033060	3
NM_033188	3
NM_033210	3
NM_033226	3
NM_033282	3
NM_052876	3
NM_052885	3
NM_052891	3
NM_052900	3
NM_052933	3
NM_052959	3
NM_052971	3
NM_053276	3
NM_053283	3
NM_054107	3
NM_054112	3
NM_058222	3
NM_080283	3
NM_080610	3
NM_080618	3
NM_080819	3
NM_130767	3
NM_130783	3
NM_133464	3
NM_133638	3
NM_138278	3
NM_138279	3
NM_138331	3
NM_138456	3
NM_138803	3
NM_139074	3
NM_139245	3
NM_139264	3
NM_139318	3
NM_139319	3
NM_144612	3
NM_144632	3
NM_144652	3
NM_144676	3
NM_144967	3
NM_144979	3
NM_145001	3
NM_145011	3
NM_145027	3
NM_145032	3
NM_145047	3
NM_145051	3
NM_145053	3
NM_145068	3
NM_145204	3
NM_145268	3
NM_145292	3
NM_145650	3
NM_145913	3
NM_147147	3
NM_148963	3
NM_152292	3
