MYO9B	NM_001130065	myosin IXB isoform 2
SYNGAP1	NM_001130066	synaptic Ras GTPase activating protein 1 isoform
CCDC77	NM_001130148	coiled-coil domain containing 77 isoform b
GAP43	NM_001130064	growth associated protein 43 isoform 1
ISLR2	NM_001130137	immunoglobulin superfamily containing
EEF1D	NM_001130057	eukaryotic translation elongation factor 1 delta
ART3	NM_001130016	ADP-ribosyltransferase 3 isoform a
ART3	NM_001130017	ADP-ribosyltransferase 3 isoform c
DOCK9	NM_001130049	dedicator of cytokinesis 9 isoform c
ZNF562	NM_001130031	zinc finger protein 562 isoform a
ATP6V0A1	NM_001130021	ATPase, H+ transporting, lysosomal V0 subunit a1
MYB	NM_001130172	v-myb myeloblastosis viral oncogene homolog
ATF7	NM_001130059	activating transcription factor 7 isoform 1
RECQL5	NM_001003715	RecQ protein-like 5 isoform 2
DNAJB9	NM_012328	DnaJ (Hsp40) homolog, subfamily B, member 9
MUM1L1	NM_152423	melanoma associated antigen (mutated) 1-like 1
ZMYM2	NM_197968	zinc finger protein 198
ELK3	NM_005230	ELK3 protein
IL15RA	NM_002189	interleukin 15 receptor, alpha isoform 1
C10orf25	NM_001039380	hypothetical protein LOC220979
PCSK9	NM_174936	proprotein convertase subtilisin/kexin type 9
MXI1	NM_005962	MAX interactor 1 isoform a
MRPL4	NM_015956	mitochondrial ribosomal protein L4 isoform a
GJC3	NM_181538	gap junction protein, gamma 3, 30.2kDa
FAM23B	NM_001013629	hypothetical protein LOC340843
FBL	NM_001436	fibrillarin
STK19	NM_032454	serine/threonine kinase 19 isoform 2
ZNF776	NM_173632	zinc finger protein 776
SLC12A8	NM_024628	solute carrier family 12, member 8
KIAA1467	NM_020853	hypothetical protein LOC57613
ZSWIM7	NM_001042697	SWIM-domain containing Srs2 interacting protein
OR5B2	NM_001005566	olfactory receptor, family 5, subfamily B,
TMEM154	NM_152680	transmembrane protein 154
DDAH1	NM_012137	dimethylarginine dimethylaminohydrolase 1
ASGR2	NM_080912	asialoglycoprotein receptor 2 isoform a
FOXM1	NM_202003	forkhead box M1 isoform 3
SSX4B	NM_001034832	synovial sarcoma, X breakpoint 4B isoform a
OSTbeta	NM_178859	organic solute transporter beta
GPRASP1	NM_001099410	G protein-coupled receptor associated sorting
OR8U1	NM_001005204	olfactory receptor, family 8, subfamily U,
ZNF419	NM_001098493	zinc finger protein 419 isoform 4
ZCCHC24	NM_153367	zinc finger, CCHC domain containing 24
BIRC3	NM_182962	baculoviral IAP repeat-containing protein 3
ANKAR	NM_144708	ankyrin and armadillo repeat containing
DSPP	NM_014208	dentin sialophosphoprotein preproprotein
ELL2	NM_012081	elongation factor, RNA polymerase II, 2
ECM1	NM_004425	extracellular matrix protein 1 isoform 1
BCL2L11	NM_207002	BCL2-like 11 isoform 9
SLC26A10	NM_133489	solute carrier family 26, member 10
MAGEA2B	NM_153488	melanoma antigen family A, 2B
SARS2	NM_017827	seryl-tRNA synthetase 2
KIAA0913	NM_015037	hypothetical protein LOC23053
OR9I1	NM_001005211	olfactory receptor, family 9, subfamily I,
ZNF165	NM_003447	zinc finger protein 165
CDC14B	NM_033331	CDC14 homolog B isoform 2
AMPD2	NM_004037	adenosine monophosphate deaminase 2 (isoform L)
C1GALT1C1	NM_001011551	C1GALT1-specific chaperone 1
SGTB	NM_019072	small glutamine-rich tetratricopeptide repeat
HFE	NM_139008	hemochromatosis protein isoform 8 precursor
COX4I1	NM_001861	cytochrome c oxidase subunit IV isoform 1
KCNJ15	NM_170736	potassium inwardly-rectifying channel J15
CDC20	NM_001255	cell division cycle 20
AGER	NM_001136	advanced glycosylation end product-specific
TIPARP	NM_015508	TCDD-inducible poly(ADP-ribose) polymerase
DHFR	NM_000791	dihydrofolate reductase
CYP11A1	NM_000781	cytochrome P450, subfamily XIA isoform a
SH2D3C	NM_005489	SH2 domain containing 3C isoform 1
MCM3AP	NM_003906	minichromosome maintenance complex component 3
APOL5	NM_030642	apolipoprotein L5
ACRV1	NM_020107	acrosomal vesicle protein 1 isoform c precursor
PCDHA5	NM_031501	protocadherin alpha 5 isoform 2 precursor
DMBX1	NM_172225	diencephalon/mesencephalon homeobox 1 isoform a
TNNT2	NM_001001432	troponin T type 2, cardiac isoform 4
CDK5RAP1	NM_016408	CDK5 regulatory subunit associated protein 1
SLC38A2	NM_018976	solute carrier family 38, member 2
HSPA4L	NM_014278	heat shock 70kDa protein 4-like
LAMA5	NM_005560	laminin alpha 5
OPA1	NM_130831	optic atrophy 1 isoform 2
PCDHA8	NM_031856	protocadherin alpha 8 isoform 2 precursor
MBNL3	NM_018388	muscleblind-like 3 isoform G
REL	NM_002908	v-rel reticuloendotheliosis viral oncogene
CTSB	NM_147780	cathepsin B preproprotein
FBXO25	NM_183420	F-box only protein 25 isoform 2
RUNX3	NM_001031680	runt-related transcription factor 3 isoform 1
NUDT1	NM_198948	nudix-type motif 1 isoform p18
FLJ40142	NM_207435	hypothetical protein LOC400073
C19orf21	NM_173481	hypothetical protein LOC126353
HYAL1	NM_033159	hyaluronoglucosaminidase 1 isoform 1
RAB28	NM_004249	RAB28, member RAS oncogene family isoform 2
FAM148A	NM_207322	nuclear localized factor 1
CADM4	NM_145296	cell adhesion molecule 4
GLT8D1	NM_018446	glycosyltransferase 8 domain containing 1
STON2	NM_033104	stonin 2
ALG2	NM_033087	asparagine-linked glycosylation 2
CTF8	NM_001040144	chromosome transmission fidelity factor 8
PTPN20B	NM_001042365	protein tyrosine phosphatase, non-receptor type
EGLN3	NM_022073	egl nine homolog 3
MYCL1	NM_005376	l-myc-1 proto-oncogene isoform 2
SYP	NM_003179	synaptophysin
PCDH9	NM_203487	protocadherin 9 isoform 1 precursor
DEGS1	NM_003676	degenerative spermatocyte homolog 1, lipid
CHEK1	NM_001114121	CHK1 checkpoint homolog
RNF113A	NM_006978	ring finger protein 113A
AURKA	NM_198437	serine/threonine protein kinase 6
CSH1	NM_022641	chorionic somatomammotropin hormone 1 isoform 3
SDCBP2	NM_015685	syndecan binding protein 2 isoform b
KBTBD10	NM_006063	kelch repeat and BTB (POZ) domain containing 10
ACVRL1	NM_001077401	activin A receptor type II-like 1
NETO1	NM_138999	neuropilin- and tolloid-like protein 1 isoform 1
WDR35	NM_001006657	WD repeat domain 35 isoform 1
MTMR11	NM_181873	myotubularin related protein 11
TMEM167B	NM_020141	transmembrane protein 167B
CCNY	NM_145012	cyclin Y isoform 1
GABRR2	NM_002043	gamma-aminobutyric acid (GABA) receptor, rho 2
RUSC1	NM_001105203	RUN and SH3 domain containing 1 isoform a
C20orf4	NM_015511	hypothetical protein LOC25980
SOX9	NM_000346	transcription factor SOX9
RBP7	NM_052960	retinol binding protein 7, cellular
