C9orf152	NM_001012993	hypothetical protein LOC401546
RPS11	NM_001015	ribosomal protein S11
CREB3L1	NM_052854	cAMP responsive element binding protein 3-like
ELMO2	NM_133171/NM_182764	engulfment and cell motility 2
PNMA1	NM_006029	paraneoplastic antigen MA1
MMP2	NM_004530/NM_001127891	matrix metalloproteinase 2 isoform a/matrix metalloproteinase 2 isoform b
TMEM216	NM_016499	transmembrane protein 216
C10orf90	NM_001004298	hypothetical protein LOC118611
ERCC5	NM_000123	XPG-complementing protein
ZHX3	NM_015035	zinc fingers and homeoboxes 3
GPR98	NM_032119/NR_003149	G protein-coupled receptor 98 precursor
RXFP3	NM_016568	relaxin/insulin-like family peptide receptor 3
APBB2	NM_173075	amyloid beta A4 precursor protein-binding,
KLHL13	NM_033495	kelch-like 13
KRTAP10-8	NM_198695	keratin associated protein 10-8
PRSSL1	NM_214710	protease, serine-like 1
PDCL3	NM_024065	phosducin-like 3
AEN	NM_022767	interferon stimulated exonuclease gene
DECR1	NM_001359	2,4-dienoyl CoA reductase 1 precursor
FRG2	NM_001005217	FSHD region gene 2
GGT3P	NR_003267
SALL1	NM_002968/NM_001127892	sal-like 1 isoform a/sal-like 1 isoform b
CADM4	NM_145296	cell adhesion molecule 4
RPS18	NM_022551	ribosomal protein S18
SLC10A7	NM_032128/NM_001029998	solute carrier family 10 (sodium/bile acid
CFHR5	NM_030787	complement factor H-related 5
OR2K2	NM_205859	olfactory receptor, family 2, subfamily K,
LMAN1	NM_005570	lectin, mannose-binding, 1 precursor
CHD8	NM_020920	chromodomain helicase DNA binding protein 8
SUMO1	NM_001005782/NM_001005781/NM_003352	SMT3 suppressor of mif two 3 homolog 1 isoform b/SMT3 suppressor of mif two 3 homolog 1 isoform a
GP1BA	NM_000173	platelet glycoprotein Ib alpha polypeptide
DDB1	NM_001923	damage-specific DNA binding protein 1
MYO9B	NM_001130065/NM_004145	myosin IXB isoform 2/myosin IXB isoform 1
MMP7	NM_002423	matrix metalloproteinase 7 preproprotein
CRNKL1	NM_016652	crooked neck-like 1 protein
XAB2	NM_020196	XPA binding protein 2
RTN1	NM_206852/NM_021136/NM_206857	reticulon 1 isoform C/reticulon 1 isoform A/reticulon 1 isoform B
KLHL14	NM_020805	kelch-like 14
TBX10	NM_005995	T-box 10
CENPQ	NM_018132	centromere protein Q
ZBTB12	NM_181842	zinc finger and BTB domain containing 12
UTY	NM_007125/NM_182660/NM_182659	tetratricopeptide repeat protein isoform 3/tetratricopeptide repeat protein isoform 1/tetratricopeptide repeat protein isoform 2
LOC85391	NR_003125
DTNBP1	NM_032122/NM_183041/NM_183040	dystrobrevin binding protein 1 isoform a/dystrobrevin binding protein 1 isoform c/dystrobrevin binding protein 1 isoform b
KBTBD8	NM_032505	T-cell activation kelch repeat protein
ZEB1	NM_030751/NM_001128128/NR_024285/NR_024286/NR_024287	zinc finger E-box binding homeobox 1 isoform b/zinc finger E-box binding homeobox 1 isoform a
ZG16	NM_152338	zymogen granule protein 16
FAT4	NM_024582	FAT tumor suppressor homolog 4
MIER1	NM_020948/NM_001077704/NM_001077701/NM_001077702/NM_001077700/NM_001077703	mesoderm induction early response 1 isoform
ADAM5P	NR_001448
CHD9	NM_025134	chromodomain helicase DNA binding protein 9
STK16	NM_003691/NM_001008910	serine/threonine kinase 16
ARID3C	NM_001017363	AT rich interactive domain 3C (BRIGHT- like)
KIAA1486	NM_020864	hypothetical protein LOC57624
TOB2	NM_016272	transducer of ERBB2, 2
BANK1	NM_017935/NM_001083907/NM_001127507	B-cell scaffold protein with ankyrin repeats 1
LOC643896	NM_001101386	hypothetical protein LOC643896
OR2V2	NM_206880	olfactory receptor, family 2, subfamily V,
SFTA2	NM_205854	surfactant associated protein G precursor
GRM2	NM_001130063/NM_000839	glutamate receptor, metabotropic 2 isoform b/glutamate receptor, metabotropic 2 isoform a
PROSC	NM_007198	proline synthetase co-transcribed homolog
SPIN2B	NM_001006681/NM_001006682/NM_001006683	spindlin-like protein 2
PIR	NM_003662/NM_001018109	pirin
IPO9	NM_018085	importin 9
TMPRSS11E2	NM_001099662	transmembrane protease, serine 11E2
EVC	NM_153717	Ellis van Creveld syndrome protein
CXCL13	NM_006419	chemokine (C-X-C motif) ligand 13 (B-cell
KIAA1199	NM_018689	KIAA1199
SORL1	NM_003105	sortilin-related receptor containing LDLR class
CHD1	NM_001270	chromodomain helicase DNA binding protein 1
NAT10	NM_024662	N-acetyltransferase 10 (GCN5-related)
SYN3	NM_133633/NM_003490/NM_001135774	synapsin III isoform IIIc/synapsin III isoform IIIa/synapsin III isoform IIIg
SLC22A2	NM_003058	solute carrier family 22 member 2
SERPINF1	NM_002615	serine (or cysteine) proteinase inhibitor, clade
WDR34	NM_052844	WD repeat domain 34
OR7A17	NM_030901	olfactory receptor, family 7, subfamily A,
C9orf11	NM_020641	Acr formation associated factor
RNF216L	NR_015449/NR_023385/NR_023384
LHB	NM_000894	luteinizing hormone beta subunit precursor
STK25	NM_006374	serine/threonine kinase 25
OR10X1	NM_001004477	olfactory receptor, family 10, subfamily X,
TAOK3	NM_016281	TAO kinase 3
C3orf39	NM_032806	glycosyltransferase
C14orf108	NM_018229	chromosome 14 open reading frame 108
CDC25B	NM_021872/NM_004358/NM_021873	cell division cycle 25B isoform 3/cell division cycle 25B isoform 2/cell division cycle 25B isoform 1
BMP3	NM_001201	bone morphogenetic protein 3 preproprotein
TMEM180	NM_024789	transmembrane protein 180
MAP1LC3C	NM_001004343	microtubule-associated protein 1 light chain 3
CRYGC	NM_020989	crystallin, gamma C
POU3F1	NM_002699	POU domain, class 3, transcription factor 1
C4orf11	NR_024087/NR_024088
HIGD1B	NM_016438	HIG1 domain family, member 1B
USP6NL	NM_001080491	USP6 N-terminal like
ABCD4	NM_005050/NR_003256	ATP-binding cassette, sub-family D, member 4
DIMT1L	NM_014473	dimethyladenosine transferase
SLC25A46	NM_138773	solute carrier family 25, member 46
LARP7	NM_016648/NM_015454	La ribonucleoprotein domain family, member 7
TEK	NM_000459	TEK tyrosine kinase, endothelial precursor
FLJ40296	NM_198441	hypothetical protein LOC122183
CD160	NM_007053	CD160 antigen
PHF20	NM_016436	PHD finger protein 20
CPNE4	NM_130808	copine IV
GTPBP1	NM_004286	GTP binding protein 1
RAB33B	NM_031296	RAB33B, member RAS oncogene family
ALDOC	NM_005165	fructose-bisphosphate aldolase C
ZNF212	NM_012256	zinc finger protein 212
NUDT1	NM_198948/NM_198954/NM_198953/NM_198949/NM_198952/NM_002452/NM_198950	nudix-type motif 1 isoform p18/nudix-type motif 1 isoform p22
RFPL2	NM_001098527/NM_006605	ret finger protein-like 2 isoform 2/ret finger protein-like 2 isoform 1
ZNF83	NM_001105552/NR_003936/NM_001105554/NM_001105549/NM_001105553/NM_018300/NM_001105551/NM_001105550	zinc finger protein 83 isoform a/zinc finger protein 83 isoform b
IPW	NR_023915
GDPD5	NM_030792	glycerophosphodiester phosphodiesterase domain
PDCD4	NM_145341/NM_014456	programmed cell death 4 isoform 2/programmed cell death 4 isoform 1
CEP350	NM_014810	centrosome-associated protein 350
CST7	NM_003650	cystatin F
