NM_000367	TPMT	thiopurine S-methyltransferase
NM_000597	IGFBP2	insulin-like growth factor binding protein 2,
NM_000612	IGF2	insulin-like growth factor 2
NM_003380	VIM	vimentin
NM_004128	GTF2F2	general transcription factor IIF, polypeptide 2
NM_005513	GTF2E1	general transcription factor IIE, polypeptide 1
NM_006169	NNMT	nicotinamide N-methyltransferase
NM_017445	H2BFS	H2B histone family, member S
NM_021803	IL21	interleukin 21
NM_002178	IGFBP6	insulin-like growth factor binding protein 6
NM_032578	FLJ14437	myopalladin
NM_017415	KLHL3	kelch-like 3 (Drosophila)
NM_020866	KLHL1	kelch-like 1 protein
NM_018649	H2AFY2	core histone macroH2A2.2
NM_004492	GTF2A2	general transcription factor IIA, 2 (12kD
NM_000598	IGFBP3	insulin-like growth factor binding protein 3
NM_000618	IGF1	insulin-like growth factor 1 (somatomedin C)
NM_005316	GTF2H1	general transcription factor IIH, polypeptide 1
NM_000081	LYST	lysosomal trafficking regulator isoform 1
NM_020141	C1orf119	hypothetical protein LOC56900
NM_004970	IGFALS	insulin-like growth factor binding protein, acid
NM_006895	HNMT	histamine N-methyltransferase isoform 1
NM_007246	KLHL2	kelch-like 2, Mayven
NM_015993	TM4SF11	plasmolipin
NM_133451	KIAA1970	hypothetical protein LOC124454
NM_018086	FIGN	fidgetin
NM_014440	IL1F6	interleukin 1 family, member 6 (epsilon)
NM_018977	NLGN3	neuroligin 3
NM_015915	SPG3A	atlastin
NM_006344	CLEC10A	C-type lectin, superfamily member 14 isoform 2
NM_000384	APOB	apolipoprotein B precursor
NM_023013	PRAMEF1	hypothetical protein LOC65121
NM_024669	FLJ11795	hypothetical protein LOC79722
NM_024929	C6orf59	hypothetical protein LOC79992
NM_025004	CCDC15	coiled-coil domain containing 15
NM_025057	C14orf45	hypothetical protein LOC80127
NM_025240	CD276	CD276 antigen isoform b
NM_032623	OSAP	ovary-specific acidic protein
NM_052952	DIRC1	hypothetical protein LOC116093
NM_080676	C20orf133	chromosome 20 open reading frame 133
NM_080828	C20orf173	hypothetical protein LOC140873
NM_080829	C20orf175	hypothetical protein LOC140876
NM_025091	CXYorf2	hypothetical protein LOC80161
NM_152335	C15orf27	hypothetical protein LOC123591
NM_138401	LOC93343	hypothetical protein LOC93343
NM_153375	PLAC2	placenta-specific 2
NM_144692	LOC148137	hypothetical protein LOC148137
NM_144679	FLJ31528	hypothetical protein LOC146705
NM_152423	MUM1L1	melanoma associated antigen (mutated) 1-like 1
NM_152509	FLJ31568	hypothetical protein LOC150244
NM_153007	ODF4	OPPO 1
NM_152466	FLJ25168	hypothetical protein LOC147081
NM_153025	C16orf55	hypothetical protein LOC124045
NM_001004485	OR13F1	olfactory receptor, family 13, subfamily F,
NM_024676	C1orf113	hypothetical protein LOC79729
NM_153044	FLJ35801	hypothetical protein LOC150291
NM_153031	FLJ32063	hypothetical protein LOC150538
NM_153003	OFCC1	MRDS1
NM_147195	FLJ35740	FLJ35740 protein
NM_152481	FLJ25660	hypothetical protein LOC148109
NM_152483	FLJ25328	hypothetical protein LOC148231
NM_153251	ZDHHC20	DHHC-containing protein 20
NM_152684	FLJ39653	hypothetical protein LOC202020
NM_152633	FANCB	Fanconi anemia complementation group B
NM_152497	FLJ32206	hypothetical protein LOC149421
NM_152500	CCDC17	hypothetical protein LOC149483
NM_152556	FLJ31818	hypothetical protein LOC154743
NM_152757	FLJ30313	hypothetical protein LOC253868
NM_024554	PGBD5	piggyBac transposable element derived 5
NM_152595	PGBD4	piggyBac transposable element derived 4
NM_178532	RNF180	ring finger protein 180
NM_178463	C20orf166	hypothetical protein LOC128826
NM_174978	C14orf39	hypothetical protein LOC317761
NM_178569	CEI	CEI-a protein precursor
NM_001001343	MGC27121	hypothetical protein LOC408263
NM_175075	INM01	hypothetical protein LOC157695
NM_173678	FLJ40722	hypothetical protein LOC285966
NM_175898	LOC283687	hypothetical protein LOC283687
NM_173657	FLJ31139	hypothetical protein LOC285315
NM_032779	FLJ14397	hypothetical protein LOC84865
NM_173590	C11orf36	hypothetical protein LOC283303
NM_175616	FIS	hypothetical protein LOC202299
NM_175918	FLJ34443	hypothetical protein LOC285464
NM_173507	C1orf127	hypothetical protein LOC148345
NM_181646	FLJ32110	hypothetical protein LOC219578
NM_182533	FLJ31031	hypothetical protein LOC199990
NM_182520	C22orf15	hypothetical protein LOC150248
NM_001004441	DP58	cytosolic phosphoprotein DP58
NM_020425	C6orf162	hypothetical protein LOC57150
NM_181788	H1T2	histone H1 variant
NM_182595	DKFZp564N2472	hypothetical protein LOC285877
NM_182635	LOC349236	hypothetical protein LOC349236
NM_182534	C1orf126	hypothetical protein LOC200197
NM_181722	LOC285908	hypothetical protein LOC285908
NM_182568	FLJ36492	hypothetical protein LOC284047
NM_181341	WDR21A	WD repeat domain 21A isoform 3
NM_020734	KIAA1238	hypothetical protein LOC57494
NM_017864	FLJ20530	hypothetical protein LOC55656
NM_015370	HS747E2A	hypothetical protein LOC25770
NM_019049	FLJ20054	hypothetical protein LOC54530
NM_018280	FLJ10945	hypothetical protein LOC55267
NM_018293	ZNF654	zinc finger protein 654
NM_017904	FLJ20619	hypothetical protein LOC55001
NM_017928	FLJ20694	hypothetical protein LOC55018
NM_016175	LOC51149	hypothetical protein LOC51149 isoform 1
NM_019002	ETAA16	ETAA16 protein
NM_018134	IQCC	IQ motif containing C
NM_138355	SCRN2	secernin 2
NM_005587	MEF2A	MADS box transcription enhancer factor 2,
NM_145171	GPHB5	glycoprotein beta 5
NM_177457	LYNX1	Ly-6 neurotoxin-like protein 1 isoform c
NM_013271	PCSK1N	proprotein convertase subtilisin/kexin type 1
NM_052842	BCL2L12	BCL2-like 12 isoform 2
NM_138639	BCL2L12	BCL2-like 12 isoform 1
NM_182791	FLJ32855	hypothetical protein LOC80125
NM_024348	DCTN3	dynactin 3 isoform 2
NM_007018	CEP1	centrosomal protein 1
NM_024878	PHF20L1	PHD finger protein 20-like 1 isoform 3
NM_033364	C3orf15	AAT1-alpha
NM_024806	FLJ23554	hypothetical protein LOC79864 isoform 1
NM_199124	FLJ23554	hypothetical protein LOC79864 isoform 2
NM_000409	GUCA1A	guanylate cyclase activator 1A (retina)
NM_000543	SMPD1	sphingomyelin phosphodiesterase 1, acid
NM_000603	NOS3	nitric oxide synthase 3 (endothelial cell)
NM_000906	NPR1	natriuretic peptide receptor A/guanylate cyclase
NM_000578	SLC11A1	solute carrier family 11 (proton-coupled
NM_000948	PRL	prolactin
NM_001048	SST	somatostatin
NM_000922	PDE3B	phosphodiesterase 3B, cGMP-inhibited
NM_000949	PRLR	prolactin receptor
NM_003478	CUL5	Vasopressin-activated calcium-mobilizing
NM_003629	PIK3R3	phosphoinositide-3-kinase, regulatory subunit 3
NM_003641	IFITM1	interferon induced transmembrane protein 1
NM_003873	NRP1	neuropilin 1 isoform a
NM_001678	ATP1B2	Na+/K+ -ATPase beta 2 subunit
NM_001684	ATP2B4	plasma membrane calcium ATPase 4 isoform 4b
NM_001859	SLC31A1	solute carrier family 31 (copper transporters),
NM_001904	CTNNB1	catenin (cadherin-associated protein), beta 1,
NM_002063	GLRA2	glycine receptor, alpha 2
NM_002072	GNAQ	guanine nucleotide binding protein (G protein),
NM_002303	LEPR	leptin receptor isoform 1
NM_002486	NCBP1	nuclear cap binding protein subunit 1, 80kDa
NM_003042	SLC6A1	solute carrier family 6 (neurotransmitter
NM_003045	SLC7A1	solute carrier family 7 (cationic amino acid
NM_003123	SPN	sialophorin (gpL115, leukosialin, CD43)
NM_003360	UGT8	UDP glycosyltransferase 8 (UDP-galactose
NM_003383	VLDLR	very low density lipoprotein receptor isoform a
NM_004147	DRG1	developmentally regulated GTP binding protein 1
NM_004171	SLC1A2	solute carrier family 1, member 2
NM_004188	GFI1B	growth factor independent 1B (potential
NM_004038	AMY1A	amylase, alpha 1A; salivary precursor
NM_017644	DRE1	DRE1 protein
NM_134444	NALP4	NACHT, leucine rich repeat and PYD containing 4
NM_138329	NALP6	NACHT, leucine rich repeat and PYD containing 6
NM_053280	ODF3	sperm tail protein SHIPPO1
NM_024572	GALNT14	UDP-N-acetyl-alpha-D-galactosamine:polypeptide
NM_032017	STK40	SINK-homologous serine/threonine kinase
NM_005126	NR1D2	nuclear receptor subfamily 1, group D, member 2
NM_004947	DOCK3	dedicator of cytokinesis 3
NM_005459	GUCA1C	guanylate cyclase activator 1C
NM_021957	GYS2	glycogen synthase 2 (liver)
NM_005348	HSPCA	heat shock 90kDa protein 1, alpha isoform 2
NM_005414	SKIL	SKI-like
NM_005920	MEF2D	MADS box transcription enhancer factor 2,
NM_005541	INPP5D	SH2 containing inositol phosphatase isoform b
NM_005972	PPYR1	pancreatic polypeptide receptor 1
NM_005594	NACA	nascent-polypeptide-associated complex alpha
NM_005957	MTHFR	5,10-methylenetetrahydrofolate reductase
NM_006211	PENK	proenkephalin
NM_006783	GJB6	gap junction protein, beta 6 (connexin 30)
NM_006261	PROP1	prophet of Pit1, paired-like homeodomain
NM_006925	SFRS5	splicing factor, arginine/serine-rich 5
